City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Arraial Do Cabo,BR,80.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
7,Rikitea,PF,79.79,clear sky,-23.1203,-134.9692,Pension Maro'i
12,Kavieng,PG,84.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
18,Kapaa,US,78.8,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
19,Vao,NC,77.95,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
20,Hithadhoo,MV,83.37,overcast clouds,-0.6,73.0833,Scoop Guest House
23,Buala,SB,83.79,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
25,Ugoofaaru,MV,82.17,overcast clouds,5.6667,73.0,Ungoofaaru Inn
27,Poum,NC,81.16,clear sky,-20.2333,164.0167,Gîte kajeon
32,Palauig,PH,81.09,overcast clouds,15.435,119.9045,Myhousebythesea
35,Atuona,PF,80.94,light rain,-9.8,-139.0333,Villa Enata
39,Pocone,BR,83.3,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
43,Esmeralda,CU,80.6,few clouds,21.8525,-78.1169,Centro de Pioneros Exploradores
45,Butaritari,KI,81.52,light rain,3.0707,172.7902,Isles Sunset Lodge
46,San Patricio,US,89.6,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
49,Kloulklubed,PW,82.4,broken clouds,7.0419,134.2556,Storyboard Beach Resort
50,Pantai Remis,MY,75.2,few clouds,4.4557,100.6288,Leisure Homestay
56,Caravelas,BR,76.15,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
59,Salalah,OM,77.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
62,San Miguel Ixtahuacan,GT,78.8,clear sky,15.25,-91.75,Aldea Baljetre
69,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
70,Katy,US,81.0,haze,29.7858,-95.8244,Hilton Garden Inn Houston West Katy
72,Padang,ID,77.0,broken clouds,-0.9492,100.3543,Mercure Padang
80,Puerto Ayora,EC,82.4,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Sabya,SA,78.8,clear sky,17.1495,42.6254,Aseel Hotel Apartment
84,Vung Tau,VN,79.54,broken clouds,10.346,107.0843,Green hotel
88,Georgetown,MY,80.6,scattered clouds,5.4112,100.3354,Cititel Penang
92,Boa Vista,BR,86.0,light rain,2.8197,-60.6733,Aipana Plaza Hotel
94,Nhulunbuy,AU,77.0,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
95,Turbat,PK,76.37,scattered clouds,26.0023,63.044,Mubashar Quarters
97,Ahuimanu,US,84.2,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
98,Camacari,BR,80.6,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
101,Oussouye,SN,75.2,clear sky,12.485,-16.5469,Auberge du Routard
105,Bathsheba,BB,77.0,scattered clouds,13.2167,-59.5167,Atlantis Hotel
111,Waingapu,ID,79.32,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
112,Tulum,MX,82.99,scattered clouds,20.2167,-87.4667,Kin Ha Tulum
114,Ukiah,US,80.6,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
118,Saint-Pierre,RE,77.0,clear sky,-21.3393,55.4781,Lindsey Hôtel
119,Jaisalmer,IN,80.15,clear sky,26.9147,70.9181,Hotel Fifu
136,Fuerte Olimpo,PY,80.49,heavy intensity rain,-21.0415,-57.8738,Hospedaje DAMI
138,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
142,Lake City,US,82.4,scattered clouds,30.1897,-82.6393,Ramada Limited Lake City
146,Talara,PE,78.8,clear sky,-4.5772,-81.2719,Hostal Oro Negro
147,Nizwa,OM,76.41,few clouds,22.9333,57.5333,Orient Apartments
154,Grand Gaube,MU,77.0,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
156,Mahebourg,MU,75.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
163,Ontario,US,81.0,few clouds,34.0633,-117.6509,American Inn
166,Tutoia,BR,76.57,overcast clouds,-2.7619,-42.2744,Pousada Guará's
172,Kalmunai,LK,78.04,overcast clouds,7.4167,81.8167,VS Villa
173,Peruibe,BR,77.13,clear sky,-24.32,-46.9983,Hotel Pousada Xapuri
175,Coronado,US,75.99,few clouds,32.6859,-117.1831,The El Cordova Hotel
179,Ambon,ID,77.0,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
180,Brokopondo,SR,76.53,broken clouds,4.75,-55.1667,Matu Island
185,Isangel,VU,82.4,few clouds,-19.55,169.2667,Volcano Sea View Tree House
186,Victoria,HK,75.0,few clouds,22.2855,114.1577,Mini Hotel Central
187,Sitio Novo Do Tocantins,BR,84.2,few clouds,-5.5183,-47.4611,Imperial Hotel
188,Cabo San Lucas,MX,79.0,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
191,Avarua,CK,86.0,overcast clouds,-21.2078,-159.775,Paradise Inn
194,Port Blair,IN,80.62,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
199,Tautira,PF,87.8,light rain,-17.7333,-149.15,Pension Oaoa
201,Inirida,CO,75.6,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
205,Tayoltita,MX,81.39,scattered clouds,24.0833,-105.9333,Hotel Rivera Tayoltita
207,Lorengau,PG,82.0,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
208,Eufaula,US,84.2,broken clouds,31.8913,-85.1455,Days Inn by Wyndham Eufaula AL
218,Kavaratti,IN,82.51,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
220,Hilo,US,75.2,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
224,Ternate,ID,79.81,heavy intensity rain,0.8,127.4,Grand Dafam Bela Ternate
225,Panama City,PA,89.6,few clouds,8.9936,-79.5197,Hotel Riande Granada Urban
227,Shwebo,MM,79.16,overcast clouds,22.5667,95.7,MOON SHINE Guest House
228,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
229,Trenggalek,ID,75.2,overcast clouds,-8.05,111.7167,OYO 2966 Hotel Atriaz
233,Itarema,BR,76.28,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
236,Manaure,CO,82.53,scattered clouds,11.7751,-72.4445,Hotel Palaaima
238,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
240,Kampot,KH,82.4,few clouds,10.6167,104.1833,Two Moons Hotel
245,Nang Rong,TH,84.0,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
246,Rajula,IN,81.64,clear sky,21.05,71.4333,Lion Lords Inn Rajula
247,Outram,MY,77.0,broken clouds,1.2829,103.8379,Grand Copthorne Waterfront
248,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
250,Tual,ID,80.91,light rain,-5.6667,132.75,Grand Vilia Hotel
252,Tiarei,PF,87.8,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
256,Mahibadhoo,MV,79.39,overcast clouds,3.7833,72.9667,Omadhoo Inn
257,Amahai,ID,77.13,moderate rain,-3.3333,128.9167,HOTEL ISABELA
261,Half Moon Bay,US,75.2,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
263,Alice Town,BS,76.96,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
282,Puerto Carreno,CO,85.05,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
