City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Chuy,UY,-33.6971,-53.4616,69.3,88,100,3.67,overcast clouds
1,Hobart,AU,-42.8794,147.3294,61.0,63,40,14.97,scattered clouds
2,Roma,US,43.2128,-75.4557,48.2,57,1,6.91,clear sky
3,Barrow,US,71.2906,-156.7887,-11.2,77,1,5.75,clear sky
4,Arraial Do Cabo,BR,-22.9661,-42.0278,80.6,69,0,10.36,clear sky
5,Punta Arenas,CL,-53.15,-70.9167,51.01,62,20,43.73,light rain
6,Qesarya,IL,32.5189,34.9046,57.2,54,40,2.3,scattered clouds
7,Rikitea,PF,-23.1203,-134.9692,79.79,68,1,18.05,clear sky
8,Winchester,GB,51.0651,-1.3187,48.99,87,75,10.36,broken clouds
9,Ushuaia,AR,-54.8,-68.3,55.4,76,40,17.27,moderate rain
10,Kaitangata,NZ,-46.2817,169.8464,64.0,80,100,8.01,overcast clouds
11,Dikson,RU,73.5069,80.5464,-20.81,100,98,8.03,overcast clouds
12,Kavieng,PG,-2.5744,150.7967,84.0,72,100,15.39,overcast clouds
13,Pingliang,CN,35.5392,106.6861,49.41,29,0,3.78,clear sky
14,Encheng,CN,22.1839,112.3026,72.07,90,58,3.13,broken clouds
15,Katangli,RU,51.7102,143.2326,20.5,90,30,8.61,scattered clouds
16,Pokosnoye,RU,55.5258,101.0536,18.28,95,99,2.57,overcast clouds
17,Iqaluit,CA,63.7506,-68.5145,-7.01,71,75,2.26,broken clouds
18,Kapaa,US,22.0752,-159.319,78.8,69,20,14.97,few clouds
19,Vao,NC,-22.6667,167.4833,77.95,79,12,13.06,few clouds
20,Hithadhoo,MV,-0.6,73.0833,83.37,74,100,16.64,overcast clouds
21,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,77,40,6.91,scattered clouds
22,Havoysund,NO,70.9963,24.6622,39.2,75,75,11.5,broken clouds
23,Buala,SB,-8.145,159.5921,83.79,75,64,9.98,moderate rain
24,Upernavik,GL,72.7868,-56.1549,-29.34,92,16,5.08,few clouds
25,Ugoofaaru,MV,5.6667,73.0,82.17,75,100,14.56,overcast clouds
26,Iwaki,JP,37.05,140.8833,62.01,75,100,5.01,overcast clouds
27,Poum,NC,-20.2333,164.0167,81.16,72,3,8.05,clear sky
28,Port Alfred,ZA,-33.5906,26.891,63.36,74,49,8.86,scattered clouds
29,Gushikawa,JP,26.3544,127.8686,73.4,83,75,13.8,broken clouds
30,Qaanaaq,GL,77.484,-69.3632,-12.77,86,99,5.88,overcast clouds
31,Kodiak,US,57.79,-152.4072,35.6,38,1,28.77,clear sky
32,Palauig,PH,15.435,119.9045,81.09,69,97,1.99,overcast clouds
33,Mataura,NZ,-46.1927,168.8643,59.0,90,99,4.0,overcast clouds
34,Srednekolymsk,RU,67.45,153.6833,-2.25,79,97,2.19,overcast clouds
35,Atuona,PF,-9.8,-139.0333,80.94,78,69,20.87,light rain
36,Severodvinsk,RU,64.5635,39.8302,26.6,80,0,4.47,clear sky
37,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,74.23,96,72,3.0,heavy intensity rain
38,Bluff,NZ,-46.6,168.3333,59.0,90,100,4.0,overcast clouds
39,Pocone,BR,-16.2567,-56.6228,83.3,49,24,5.28,few clouds
40,Busselton,AU,-33.65,115.3333,52.0,89,0,7.47,clear sky
41,Shingu,JP,33.7333,135.9833,62.6,72,75,17.27,broken clouds
42,Pevek,RU,69.7008,170.3133,-9.53,92,63,6.58,broken clouds
43,Esmeralda,CU,21.8525,-78.1169,80.6,65,20,19.57,few clouds
44,Seoul,KR,37.5683,126.9778,48.2,93,90,13.8,mist
45,Butaritari,KI,3.0707,172.7902,81.52,78,90,13.22,light rain
46,San Patricio,US,28.017,-97.5169,89.6,65,75,21.85,broken clouds
