City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2021-03-25 02:21:21,-23.1203,-134.9692,79.7,74,48,15.28
1,Jamestown,US,2021-03-25 02:24:40,42.097,-79.2353,59.0,77,20,11.72
2,Kismayo,SO,2021-03-25 02:24:40,-0.3582,42.5454,78.71,82,9,9.06
3,Kiama,AU,2021-03-25 02:24:41,-34.6833,150.8667,80.01,62,36,1.01
4,Morant Bay,JM,2021-03-25 02:24:41,17.8815,-76.4093,80.6,65,20,17.27
5,Torbay,CA,2021-03-25 02:24:41,47.6666,-52.7314,36.0,69,90,9.22
6,Isangel,VU,2021-03-25 02:24:42,-19.55,169.2667,82.4,69,75,2.98
7,Limbang,MY,2021-03-25 02:24:42,4.75,115.0,87.8,74,75,2.3
8,Mehamn,NO,2021-03-25 02:24:42,71.0357,27.8492,27.28,85,95,4.07
9,New Norfolk,AU,2021-03-25 02:24:43,-42.7826,147.0587,66.0,68,100,3.0
10,Kaitangata,NZ,2021-03-25 02:24:43,-46.2817,169.8464,62.01,89,83,10.0
11,Barrow,US,2021-03-25 02:24:43,71.2906,-156.7887,-2.2,71,40,5.75
12,Saint-Philippe,RE,2021-03-25 02:24:44,-21.3585,55.7679,77.0,69,0,4.61
13,Kavieng,PG,2021-03-25 02:24:44,-2.5744,150.7967,83.55,73,92,10.4
14,Puerto Ayacucho,VE,2021-03-25 02:24:44,5.6639,-67.6236,76.35,85,98,4.5
15,Vaini,TO,2021-03-25 02:24:44,-21.2,-175.2,75.2,94,75,20.71
16,Butaritari,KI,2021-03-25 02:24:45,3.0707,172.7902,81.7,79,27,17.16
17,Hilo,US,2021-03-25 02:20:45,19.7297,-155.09,84.2,48,1,17.27
18,Georgetown,MY,2021-03-25 02:24:45,5.4112,100.3354,84.2,83,20,2.3
19,Ushuaia,AR,2021-03-25 02:21:32,-54.8,-68.3,42.8,81,40,20.71
20,Havoysund,NO,2021-03-25 02:24:46,70.9963,24.6622,33.8,93,90,4.61
21,Provost,CA,2021-03-25 02:24:46,52.3501,-110.2683,44.6,70,100,3.44
22,Virginia Beach,US,2021-03-25 02:24:46,36.8529,-75.978,62.01,92,100,1.99
23,Nome,US,2021-03-25 02:20:22,64.5011,-165.4064,24.8,74,90,14.97
24,Kodiak,US,2021-03-25 02:23:57,57.79,-152.4072,44.6,61,40,4.61
25,Banamba,ML,2021-03-25 02:24:47,13.55,-7.45,81.14,13,30,13.44
26,Tasiilaq,GL,2021-03-25 02:24:47,65.6145,-37.6368,5.0,66,20,10.36
27,Padang,ID,2021-03-25 02:24:48,-0.9492,100.3543,82.4,83,20,2.3
28,Tazovskiy,RU,2021-03-25 02:24:48,67.4667,78.7,-3.53,99,98,6.96
29,Tamala,RU,2021-03-25 02:24:48,52.541,43.2515,27.68,90,99,11.81
30,Castro,BR,2021-03-25 02:24:49,-24.7911,-50.0119,64.54,89,78,2.37
31,Hobart,AU,2021-03-25 02:20:20,-42.8794,147.3294,64.99,68,75,14.97
32,Cayenne,GF,2021-03-25 02:24:49,4.9333,-52.3333,80.01,94,20,8.68
33,Busselton,AU,2021-03-25 02:24:49,-33.65,115.3333,66.0,66,41,3.0
34,Alyangula,AU,2021-03-25 02:24:50,-13.8483,136.4192,85.23,71,97,6.17
35,Harrisburg,US,2021-03-25 02:23:32,40.2737,-76.8844,55.99,94,90,2.35
36,Ginda,IN,2021-03-25 02:24:50,30.6945,78.4932,62.6,48,0,3.44
37,Avera,US,2021-03-25 02:24:50,33.194,-82.5271,64.4,100,90,3.96
38,Tiksi,RU,2021-03-25 02:24:51,71.6872,128.8694,-14.15,91,49,4.65
39,Hermanus,ZA,2021-03-25 02:24:51,-34.4187,19.2345,68.0,81,1,10.0
40,Springbok,ZA,2021-03-25 02:24:51,-29.6643,17.8865,64.31,48,0,4.97
41,Nanortalik,GL,2021-03-25 02:24:52,60.1432,-45.2371,17.11,58,43,32.08
42,Mataura,NZ,2021-03-25 02:24:52,-46.1927,168.8643,64.0,73,8,1.99
43,Iqaluit,CA,2021-03-25 02:24:52,63.7506,-68.5145,-16.01,63,90,9.22
44,Luderitz,NA,2021-03-25 02:24:53,-26.6481,15.1594,63.68,85,1,6.29
45,Emba,KZ,2021-03-25 02:24:53,48.8264,58.1442,31.46,88,100,21.12
46,Airai,TL,2021-03-25 02:24:53,-8.9266,125.4092,74.32,61,42,1.95
47,Yellowknife,CA,2021-03-25 02:24:54,62.456,-114.3525,3.2,60,20,8.05
48,Lavrentiya,RU,2021-03-25 02:24:54,65.5833,-171.0,17.1,89,87,3.31
49,Kokkola,FI,2021-03-25 02:24:54,63.8385,23.1307,32.0,86,0,6.91
50,Lompoc,US,2021-03-25 02:24:55,34.6391,-120.4579,55.4,71,20,11.5
51,Norman Wells,CA,2021-03-25 02:24:55,65.282,-126.8329,12.2,52,75,4.61
52,Bud,US,2021-03-25 02:24:55,39.447,-86.1758,59.0,51,1,3.44
53,Yar-Sale,RU,2021-03-25 02:24:56,66.8333,70.8333,9.84,94,30,11.86
54,Loreto,MX,2021-03-25 02:24:56,22.2667,-101.9667,62.33,15,99,13.94
55,Mahebourg,MU,2021-03-25 02:24:56,-20.4081,57.7,75.2,94,20,6.91
56,Poum,NC,2021-03-25 02:24:57,-20.2333,164.0167,80.31,75,58,19.17
57,Atuona,PF,2021-03-25 02:23:51,-9.8,-139.0333,80.71,77,33,19.75
58,Qasigiannguit,GL,2021-03-25 02:24:57,68.8193,-51.1922,-4.0,77,90,6.91
59,Cherskiy,RU,2021-03-25 02:24:57,68.75,161.3,0.09,88,100,3.74
60,Sakakah,SA,2021-03-25 02:24:58,29.9697,40.2064,57.2,30,0,12.66
61,Zhezkazgan,KZ,2021-03-25 02:24:58,47.8043,67.7144,23.81,83,100,8.16
62,Okha,RU,2021-03-25 02:24:58,53.5739,142.9478,15.04,64,0,13.67
63,Komsomolskiy,UZ,2021-03-25 02:24:59,40.4272,71.7189,50.0,66,56,6.91
64,Arraial Do Cabo,BR,2021-03-25 02:24:59,-22.9661,-42.0278,76.01,87,13,4.5
65,Batagay-Alyta,RU,2021-03-25 02:24:59,67.8006,130.4114,-6.99,88,42,3.49
66,Upernavik,GL,2021-03-25 02:24:59,72.7868,-56.1549,-25.06,93,69,4.36
67,Punta Arenas,CL,2021-03-25 02:25:00,-53.15,-70.9167,46.4,76,75,10.36
68,Bredasdorp,ZA,2021-03-25 02:25:00,-34.5322,20.0403,64.4,94,99,6.91
69,East London,ZA,2021-03-25 02:25:01,-33.0153,27.9116,68.07,85,100,10.33
70,Cabo San Lucas,MX,2021-03-25 02:24:38,22.8909,-109.9124,64.99,67,40,11.5
71,Shache,CN,2021-03-25 02:20:21,38.4167,77.2406,52.36,31,15,3.8
72,Ridgecrest,US,2021-03-25 02:25:01,35.6225,-117.6709,62.6,12,75,13.8
73,Swan Hill,AU,2021-03-25 02:25:02,-35.3378,143.5544,70.18,37,1,15.3
74,Tessalit,ML,2021-03-25 02:25:02,20.1986,1.0114,64.4,11,0,10.78
75,Nantucket,US,2021-03-25 02:25:02,41.2835,-70.0995,42.01,91,100,11.5
76,Tuktoyaktuk,CA,2021-03-25 02:25:03,69.4541,-133.0374,5.0,72,75,10.36
77,Taoudenni,ML,2021-03-25 02:25:04,22.6783,-3.9836,66.51,14,0,11.77
78,Clarence Town,AU,2021-03-25 02:25:04,-32.5833,151.7833,80.01,50,40,17.27
79,Puerto Ayora,EC,2021-03-25 02:25:05,-0.7393,-90.3518,77.0,94,19,3.18
80,Souillac,MU,2021-03-25 02:25:05,-20.5167,57.5167,75.2,94,20,6.91
81,Mar Del Plata,AR,2021-03-25 02:25:05,-38.0023,-57.5575,69.01,94,75,6.91
82,Steffisburg,CH,2021-03-25 02:25:06,46.7781,7.6325,37.99,93,0,1.14
83,Cidreira,BR,2021-03-25 02:25:06,-30.1811,-50.2056,73.31,81,2,10.65
84,Abasolo,MX,2021-03-25 02:25:06,20.45,-101.5167,71.6,16,75,5.75
85,Nikolskoye,RU,2021-03-25 02:25:07,59.7035,30.7861,39.0,81,90,6.71
86,Ourossogui,SN,2021-03-25 02:25:07,15.6064,-13.3211,88.36,13,1,14.18
87,Swan River,CA,2021-03-25 02:25:07,52.1058,-101.2676,24.8,46,87,11.5
88,Hasaki,JP,2021-03-25 02:25:08,35.7333,140.8333,66.0,63,75,11.5
89,Bambous Virieux,MU,2021-03-25 02:25:08,-20.3428,57.7575,77.0,94,20,6.91
90,Goure,NE,2021-03-25 02:25:09,13.9835,10.2704,79.0,9,100,11.01
91,Ozernovskiy,RU,2021-03-25 02:25:09,51.5,156.5167,28.2,66,100,27.78
92,Port Alfred,ZA,2021-03-25 02:25:09,-33.5906,26.891,68.36,85,100,14.9
93,Kendal,GB,2021-03-25 02:25:09,54.3268,-2.7476,46.99,87,71,3.0
94,Brae,GB,2021-03-25 02:25:10,60.3964,-1.353,44.6,81,90,26.46
95,Codrington,AU,2021-03-25 02:25:10,-38.2667,141.9667,62.87,69,55,19.17
96,Ljungby,SE,2021-03-25 02:25:10,56.8332,13.9408,42.8,100,90,9.22
97,Asmar,AF,2021-03-25 02:25:11,35.0333,71.3581,52.3,46,81,9.35
98,Ankpa,NG,2021-03-25 02:25:11,7.3706,7.6253,71.62,88,100,7.96
99,Greensburg,US,2021-03-25 02:25:11,40.3015,-79.5389,60.8,67,1,5.17
100,Albany,US,2021-03-25 02:24:52,42.6001,-73.9662,52.0,80,100,3.0
101,Hithadhoo,MV,2021-03-25 02:25:12,-0.6,73.0833,82.98,70,91,10.74
102,Solnechnyy,RU,2021-03-25 02:25:12,50.7214,136.6319,32.88,54,38,4.41
103,Aguas Formosas,BR,2021-03-25 02:25:13,-17.0822,-40.9358,68.14,81,0,1.81
104,Sisimiut,GL,2021-03-25 02:25:13,66.9395,-53.6735,-0.89,94,100,8.37
105,Esperance,AU,2021-03-25 02:25:13,-33.8667,121.9,68.0,56,12,10.36
106,Faanui,PF,2021-03-25 02:25:14,-16.4833,-151.75,83.73,74,97,20.83
107,Caravelas,BR,2021-03-25 02:25:14,-17.7125,-39.2481,74.93,84,0,4.43
108,Avarua,CK,2021-03-25 02:25:14,-21.2078,-159.775,86.0,79,75,16.11
109,Karratha,AU,2021-03-25 02:25:15,-20.7377,116.8463,88.18,46,4,5.5
110,Dikson,RU,2021-03-25 02:25:15,73.5069,80.5464,-0.83,98,96,3.49
111,Deputatskiy,RU,2021-03-25 02:25:15,69.3,139.9,-7.35,93,96,1.77
112,Cape Town,ZA,2021-03-25 02:25:16,-33.9258,18.4232,66.99,88,0,1.14
113,Pershotravneve,UA,2021-03-25 02:25:16,51.3929,28.8684,26.06,85,6,3.71
114,Sagarejo,GE,2021-03-25 02:25:16,41.734,45.3315,41.0,65,0,29.93
115,Thanh Hoa,VN,2021-03-25 02:25:17,19.8,105.7667,70.93,92,100,1.3
116,La Rioja,ES,2021-03-25 02:25:17,42.25,-2.5,46.99,93,67,5.75
117,Te Anau,NZ,2021-03-25 02:25:17,-45.4167,167.7167,66.63,50,1,0.74
118,Provideniya,RU,2021-03-25 02:25:18,64.3833,-173.3,19.4,73,75,8.95
119,Fortuna,US,2021-03-25 02:25:18,40.5982,-124.1573,48.99,93,90,8.05
120,Sochi,RU,2021-03-25 02:24:18,43.6,39.7303,39.2,93,90,4.47
121,Mountain Home,US,2021-03-25 02:25:18,43.133,-115.6912,46.4,36,90,5.75
122,La Primavera,CO,2021-03-25 02:25:19,5.4906,-70.4092,78.69,76,99,3.31
123,Umm Lajj,SA,2021-03-25 02:25:19,25.0213,37.2685,69.8,40,0,14.63
124,Flinders,AU,2021-03-25 02:25:19,-34.5833,150.8552,80.01,64,34,3.0
125,Yerbogachen,RU,2021-03-25 02:25:20,61.2767,108.0108,16.81,88,100,7.81
126,Omboue,GA,2021-03-25 02:25:20,-1.5746,9.2618,77.05,85,100,4.56
127,Oeiras Do Para,BR,2021-03-25 02:25:21,-2.0031,-49.8544,72.93,98,100,3.74
128,Santa Cruz,BO,2021-03-25 02:25:21,-17.8,-63.1667,73.4,94,75,3.44
129,Luau,AO,2021-03-25 02:25:21,-10.7073,22.2247,63.57,98,100,3.13
130,Tobermory,CA,2021-03-25 02:25:22,45.2501,-81.6665,51.8,82,97,6.91
131,Quelimane,MZ,2021-03-25 02:25:22,-17.8786,36.8883,75.2,94,20,4.25
132,Port Hedland,AU,2021-03-25 02:25:22,-20.3167,118.5667,91.4,52,7,3.44
133,Carnarvon,AU,2021-03-25 02:25:23,-24.8667,113.6333,78.8,61,16,17.27
134,Kahului,US,2021-03-25 02:21:34,20.8947,-156.47,78.8,69,40,6.91
135,Shelburne,CA,2021-03-25 02:25:23,44.0787,-80.2041,53.01,78,1,14.65
136,Klaksvik,FO,2021-03-25 02:25:23,62.2266,-6.589,37.4,93,20,3.44
137,Hualmay,PE,2021-03-25 02:25:24,-11.0964,-77.6139,70.7,81,100,10.04
138,Lata,PT,2021-03-25 02:25:24,40.1629,-8.3327,42.01,90,3,2.57
139,Harnosand,SE,2021-03-25 02:25:24,62.6323,17.9379,36.0,93,99,4.61
140,Bengkulu,ID,2021-03-25 02:25:25,-3.8004,102.2655,77.52,75,100,1.52
141,Fomboni,KM,2021-03-25 02:25:25,-12.28,43.7425,82.74,71,16,3.6
142,Sorong,ID,2021-03-25 02:25:26,-0.8833,131.25,78.82,84,100,4.14
143,Kapaa,US,2021-03-25 02:25:26,22.0752,-159.319,81.0,73,20,10.36
144,Bitung,ID,2021-03-25 02:25:26,1.4451,125.1824,82.4,78,40,2.3
145,Bunia,CD,2021-03-25 02:25:26,1.5667,30.25,67.77,66,100,1.36
146,Aklavik,CA,2021-03-25 02:25:27,68.2191,-135.0107,15.8,57,100,2.3
147,Parker,US,2021-03-25 02:25:14,32.7668,-97.8003,57.99,72,99,7.0
148,Bethel,US,2021-03-25 02:25:28,41.3712,-73.414,51.01,95,100,5.01
149,Novikovo,RU,2021-03-25 02:25:28,51.1537,37.8879,30.54,87,100,13.6
150,Nouakchott,MR,2021-03-25 02:25:28,18.0858,-15.9785,67.06,71,0,16.96
151,Erdenet,MN,2021-03-25 02:25:29,49.0333,104.0833,39.94,33,100,3.36
152,Bjornevatn,NO,2021-03-25 02:25:29,69.6672,29.9847,35.6,60,90,20.71
153,Verkhoyansk,RU,2021-03-25 02:25:29,67.5447,133.385,-8.61,84,99,2.42
154,Banepa,NP,2021-03-25 02:25:30,27.6298,85.5214,60.8,55,20,2.3
155,Namibe,AO,2021-03-25 02:25:30,-15.1961,12.1522,72.48,83,100,6.17
156,Bluff,NZ,2021-03-25 02:25:30,-46.6,168.3333,64.0,73,13,1.99
157,Oranjemund,NA,2021-03-25 02:25:31,-28.55,16.4333,63.23,86,0,4.12
158,Tawang,IN,2021-03-25 02:25:31,27.5833,91.8667,49.33,43,20,3.4
159,Geraldton,AU,2021-03-25 02:25:31,-28.7667,114.6,77.0,41,1,20.71
160,Huarmey,PE,2021-03-25 02:25:32,-10.0681,-78.1522,71.64,79,100,7.31
161,Key West,US,2021-03-25 02:21:27,24.5557,-81.7826,77.0,88,20,14.97
162,Dingle,PH,2021-03-25 02:25:32,10.9995,122.6711,84.85,69,100,15.88
163,San Francisco,US,2021-03-25 02:24:56,37.7749,-122.4194,54.0,66,75,10.36
164,Ponta Delgada,PT,2021-03-25 02:25:32,37.7333,-25.6667,55.4,71,20,12.66
165,Longyearbyen,SJ,2021-03-25 02:25:33,78.2186,15.6401,26.6,74,40,13.8
166,Korla,CN,2021-03-25 02:25:33,41.7597,86.1469,50.65,28,0,6.51
167,Bartlesville,US,2021-03-25 02:25:33,36.7473,-95.9808,52.0,76,1,5.75
168,Naze,JP,2021-03-25 02:22:16,28.3667,129.4833,71.6,64,40,14.97
169,Sitka,US,2021-03-25 02:25:34,57.0531,-135.33,37.4,87,90,10.36
170,Pevek,RU,2021-03-25 02:25:34,69.7008,170.3133,-10.59,89,100,2.08
171,Marawi,PH,2021-03-25 02:25:34,7.9986,124.2928,82.99,78,100,5.99
172,Half Moon Bay,US,2021-03-25 02:25:35,37.4636,-122.4286,54.0,81,40,11.5
173,Narsaq,GL,2021-03-25 02:25:35,60.9167,-46.05,15.8,53,75,11.5
174,Manta,EC,2021-03-25 02:21:53,-0.95,-80.7333,77.0,83,40,5.75
175,Talcahuano,CL,2021-03-25 02:25:35,-36.7167,-73.1167,53.6,62,0,12.66
176,Victoria,HK,2021-03-25 02:23:06,22.2855,114.1577,73.0,72,82,4.0
177,Pangnirtung,CA,2021-03-25 02:25:36,66.1451,-65.7125,-26.91,96,100,3.71
